Winner,Player1,Player2,MatchID,Generation,Replay_Name,
TheLigmaConspiracy,The Real Ignite,TheLigmaConspiracy,1.70026E+12,[Gen 7] IF Dex OU,therealignite-theligmaconspiracy-1700256648464,
Augodyne,Augodyne,TheusinEX,1.70026E+12,[Gen 7] IF Dex OU,augodyne-theusinex-1700257101986,
ItsEmily,Therealcave,ItsEmily,1.70026E+12,[Gen 9] IF NatDex AG,therealcave-itsemily-1700257180419,
supersaiyanmekhi,supersaiyanmekhi,Ramarachu,1.70026E+12,[Gen 9] IF Custom Game,supersaiyanmekhi-ramarachu-1700257831811,
PizzaTowerEpic,PizzaTowerEpic,antiGuide,1.70026E+12,[Gen 9] IF NatDex AG,pizzatowerepic-antiguide-1700258464403,
eambplsl,boulettelegends,eambplsl,1.70026E+12,[Gen 7] IF Dex AG,boulettelegends-eambplsl-1700259428065,
Josephgaming_99,C0PP3RHEAD,Josephgaming_99,1.70026E+12,[Gen 7] IF Dex AG,c0pp3rhead-josephgaming99-1700259586784,
PizzaTowerEpic,solarialmp4,PizzaTowerEpic,1.70026E+12,[Gen 9] IF NatDex AG,solarialmp4-pizzatowerepic-1700260209442,
PizzaTowerEpic,PizzaTowerEpic,Therealcave,1.70026E+12,[Gen 9] IF NatDex AG,pizzatowerepic-therealcave-1700260859302,
Waba2,Waba2,Wabadoodel,1.70026E+12,[Gen 7] IF Dex AG,waba2-wabadoodel-1700261149427,
PizzaTowerEpic,MrGasmask1290,PizzaTowerEpic,1.70026E+12,[Gen 9] IF NatDex AG,mrgasmask1290-pizzatowerepic-1700262921047,
Konotton,Konotton,DasBakterium,1.70026E+12,[Gen 7] IF Dex OU,konotton-dasbakterium-1700263713681,
Konotton,SmashMania,Konotton,1.70026E+12,[Gen 7] IF Dex OU,smashmania-konotton-1700264106323,
HUEnd,ItIsElementary,HUEnd,1.70026E+12,[Gen 7] IF Dex AG,itiselementary-huend-1700264919752,
HUEnd,HUEnd,akuma_71,1.70027E+12,[Gen 7] IF Dex AG,huend-akuma71-1700265034306,
Walccer,Walccer,Obsidrugon,1.70027E+12,[Gen 9] IF NatDex Doubles,walccer-obsidrugon-1700265045370,
HUEnd,PANDA803,HUEnd,1.70027E+12,[Gen 7] IF Dex AG,panda803-huend-1700265264906,
HUEnd,HUEnd,ItIsElementary,1.70027E+12,[Gen 7] IF Dex AG,huend-itiselementary-1700265780677,
TotalSylv,TotalSylv,Dirt Donut,1.70027E+12,[Gen 7] IF Dex OU,totalsylv-dirtdonut-1700267413662,
TotalSylv,TotalSylv,Dirt Donut,1.70027E+12,[Gen 7] IF Dex OU,totalsylv-dirtdonut-1700268190744,
Guest 7521,funtime for all,Bananablunt,1.70027E+12,[Gen 7] IF Dex OU,funtimeforall-bananablunt-1700268716728,
HUEnd,HUEnd,lunasafaro,1.70027E+12,[Gen 7] IF Dex AG,huend-lunasafaro-1700269139941,
